campaign	peers	attempt	order	base_median_ns	head_median_ns	delta_percent	base_ci_low_ns	base_ci_high_ns	head_ci_low_ns	head_ci_high_ns
02-metrics-target	1	3	base-head	31070.106324340005813	30645.164995583039854	-1.367685466927647	30985.056275643415574	31285.606440382940491	30488.570518011387321	30975.213044758540491
02-metrics-target	1	4	head-base	30475.291997354499472	30597.248501303212834	0.400181576469555	30339.910257523148175	30735.741608796295623	30501.697176368375949	30760.887271937444893
02-metrics-target	1	5	base-head	30315.127937475801446	30702.632938240800286	1.278256194610883	30204.381279036002525	30512.461137381782464	30429.917229500242684	31346.639192139737133
02-metrics-target	1	6	head-base	30607.713362193360808	30543.629637809186534	-0.209371159569635	30219.486555349412811	30856.913600288600719	30376.186297605025175	30713.710854681979981
02-metrics-target	8	1	base-head	63844.400707898661494	58722.396000000000640	-8.022637304300014	63558.216654247386032	64684.277786057296908	58363.926326530614460	59437.986964285715658
02-metrics-target	8	2	head-base	63661.464501510570699	58571.035764872518484	-7.996091162051834	62915.980362537760811	64075.734978180596954	58409.402089235125459	58893.413530284633453
02-metrics-target	8	3	base-head	63746.239398967554735	58464.894052670570090	-8.284952016138105	63132.074188790560584	64350.759341199605842	57965.093352192365273	58777.839886845831643
02-metrics-target	8	4	head-base	63518.659905894004623	58376.091134751768550	-8.096154387956551	63210.006909361072758	64023.500742942051147	57869.056028368795523	58554.494444444440887
02-metrics-target	8	5	base-head	63324.924021792961867	58245.026322001889639	-8.021956249079508	63179.478392768694903	63954.783506686479086	57952.182719546741282	58597.493783443496795
02-metrics-target	8	6	head-base	63697.787240985475364	58265.528805120906327	-8.528174480085010	62998.803964757709764	63944.717382525697758	57460.433285917497415	58502.517780938833312
02-metrics-target	64	1	base-head	334725.860893672564998	285324.947484276723117	-14.758618673054455	332839.196917808207218	338777.855936073057819	284482.237346510926727	286227.097484276746400
02-metrics-target	64	2	head-base	331763.237837837834377	287582.325995807128493	-13.317000439821438	330787.466698841715697	332270.897747747716494	287101.591981132049114	289539.077044025179930
02-metrics-target	64	3	base-head	332490.405968468461651	285967.786744022509083	-13.992168913546907	331407.552027027006261	334002.839949324319605	285040.808273056056350	288036.009493670891970
02-metrics-target	64	4	head-base	331743.635487528343219	285029.480607966426760	-14.081401987082915	330430.421768707456067	333039.353741496626753	283817.415094339638017	285945.510220125783235
02-metrics-target	64	5	base-head	331143.242867867869791	284915.952083333279006	-13.959907617073169	330650.880912162130699	332484.047860360355116	283752.529374999983702	285950.853125000023283
02-metrics-target	64	6	head-base	332454.411861861881334	284214.497291666688398	-14.510234440877074	331374.210585585562512	334089.453185328166001	283057.182031249976717	285311.759687499958090
02-metrics-target	256	1	base-head	1271863.101139601087198	1081103.261337868403643	-14.998456958992687	1260029.532051282003522	1286386.709401709493250	1077696.092063492164016	1084364.759523809421808
02-metrics-target	256	2	head-base	1272621.731410256586969	1088099.678571428637952	-14.499363658857980	1268449.027777777984738	1275257.581196581246331	1085444.365079364972189	1090858.955555555410683
