ts_unix,elapsed_sec,pe1_rss_mb,pe2_rss_mb,pe1_df_role,pe2_df_role,pe1_df_changes,pe2_df_changes,pe1_bum_flags,pe2_bum_flags,pe2_running
1778444606,17915,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778444667,17976,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778444727,18036,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778444787,18096,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778444848,18157,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778444908,18217,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778444970,18279,13.9453,11.7422,NaN,NaN,NaN,NaN,df,df,1
1778445030,18339,13.9453,11.7422,NaN,NaN,NaN,NaN,df,df,1
1778445091,18400,13.9453,11.7422,NaN,NaN,NaN,NaN,df,df,1
1778445151,18460,13.9453,11.7422,NaN,NaN,NaN,NaN,df,df,1
1778445212,18521,13.9453,11.7422,NaN,NaN,NaN,NaN,df,df,1
1778445272,18581,13.9453,11.7422,NaN,NaN,NaN,NaN,df,df,1
1778445333,18642,13.9453,11.7422,NaN,NaN,NaN,NaN,df,df,1
1778445393,18702,13.9453,12.2305,NaN,NaN,NaN,NaN,df,df,1
1778445454,18763,13.9453,12.2305,NaN,NaN,NaN,NaN,df,df,1
1778445514,18823,13.9453,12.2305,NaN,NaN,NaN,NaN,df,df,1
1778445580,18889,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778445640,18949,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778445701,19010,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778445761,19070,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778445821,19130,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778445882,19191,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778445942,19251,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778446002,19311,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778446063,19372,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778446123,19432,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778446185,19494,13.9453,10.332,NaN,NaN,NaN,NaN,df,df,1
1778446245,19554,13.9453,10.332,NaN,NaN,NaN,NaN,df,df,1
1778446306,19615,13.9453,10.332,NaN,NaN,NaN,NaN,df,df,1
1778446366,19675,13.9453,10.8789,NaN,NaN,NaN,NaN,df,df,1
1778446427,19736,13.9453,10.8789,NaN,NaN,NaN,NaN,df,df,1
1778446487,19796,13.9453,10.8789,NaN,NaN,NaN,NaN,df,df,1
1778446548,19857,13.9453,10.8789,NaN,NaN,NaN,NaN,df,df,1
1778446608,19917,13.9453,10.8789,NaN,NaN,NaN,NaN,df,df,1
1778446669,19978,13.9453,11.6602,NaN,NaN,NaN,NaN,df,df,1
1778446729,20038,13.9453,11.6602,NaN,NaN,NaN,NaN,df,df,1
1778446795,20104,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778446855,20164,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778446916,20225,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778446976,20285,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778447036,20345,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778447097,20406,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
