monotonic_seconds	utc	http_code	time_seconds
1348477.02	2026-07-20T03:26:12.645Z	200	0.001651
1348477.13	2026-07-20T03:26:12.759Z	200	0.002063
1348477.24	2026-07-20T03:26:12.871Z	200	0.001515
1348477.35	2026-07-20T03:26:12.983Z	200	0.001432
1348477.47	2026-07-20T03:26:13.100Z	200	0.006577
1348477.60	2026-07-20T03:26:13.229Z	200	0.017684
1348477.71	2026-07-20T03:26:13.341Z	200	0.001482
1348477.82	2026-07-20T03:26:13.454Z	200	0.001964
1348477.94	2026-07-20T03:26:13.567Z	200	0.002095
1348478.06	2026-07-20T03:26:13.685Z	200	0.008090
1348478.17	2026-07-20T03:26:13.799Z	200	0.002842
1348478.28	2026-07-20T03:26:13.910Z	200	0.001518
1348478.40	2026-07-20T03:26:14.027Z	200	0.006380
1348478.51	2026-07-20T03:26:14.142Z	200	0.004233
1348478.62	2026-07-20T03:26:14.254Z	200	0.001424
1348478.76	2026-07-20T03:26:14.387Z	200	0.022548
1348478.87	2026-07-20T03:26:14.501Z	200	0.003952
1348478.98	2026-07-20T03:26:14.614Z	200	0.001186
1348479.10	2026-07-20T03:26:14.726Z	200	0.001387
1348479.21	2026-07-20T03:26:14.839Z	200	0.001448
1348479.34	2026-07-20T03:26:14.968Z	200	0.018309
1348479.45	2026-07-20T03:26:15.084Z	200	0.005363
1348479.57	2026-07-20T03:26:15.198Z	200	0.002848
1348479.68	2026-07-20T03:26:15.311Z	200	0.001552
1348479.79	2026-07-20T03:26:15.422Z	200	0.001406
1348479.91	2026-07-20T03:26:15.543Z	200	0.009616
1348480.03	2026-07-20T03:26:15.656Z	200	0.001267
1348480.14	2026-07-20T03:26:15.768Z	200	0.001237
1348480.25	2026-07-20T03:26:15.881Z	200	0.001371
1348480.36	2026-07-20T03:26:15.993Z	200	0.001348
1348480.48	2026-07-20T03:26:16.115Z	200	0.010895
1348480.60	2026-07-20T03:26:16.226Z	200	0.001381
1348480.71	2026-07-20T03:26:16.344Z	200	0.006985
1348480.83	2026-07-20T03:26:16.458Z	200	0.002668
1348480.94	2026-07-20T03:26:16.570Z	200	0.001410
1348481.05	2026-07-20T03:26:16.681Z	200	0.001534
1348481.16	2026-07-20T03:26:16.793Z	200	0.001606
1348481.27	2026-07-20T03:26:16.904Z	200	0.001279
1348481.39	2026-07-20T03:26:17.022Z	200	0.007550
1348481.50	2026-07-20T03:26:17.135Z	200	0.001582
1348481.63	2026-07-20T03:26:17.259Z	200	0.013554
1348481.74	2026-07-20T03:26:17.372Z	200	0.001260
1348481.85	2026-07-20T03:26:17.484Z	200	0.001473
1348481.97	2026-07-20T03:26:17.596Z	200	0.001602
1348482.08	2026-07-20T03:26:17.708Z	200	0.001413
