timestamp,elapsed_sec,rss_mb,live_target_macs,local_fdb_count,frr_type2_count,bgp_established,churn_cycles,mac_add_total,mac_del_total,originations_inject,originations_withdraw,origination_errors_inject,origination_errors_withdraw,observation_drops_total,duplicate_mac_moves_total
2026-05-18T05:14:46Z,12176,22.449,1024,2048,1024,1,2424,61624,60600,61630,60606,0,0,0,0
2026-05-18T05:15:46Z,12236,22.449,1024,2048,1024,1,2436,61924,60900,61930,60906,0,0,0,0
2026-05-18T05:16:46Z,12296,22.449,1024,2048,1024,1,2448,62224,61200,62230,61206,0,0,0,0
2026-05-18T05:17:47Z,12357,22.449,1024,2048,1024,1,2460,62524,61500,62530,61506,0,0,0,0
2026-05-18T05:18:47Z,12417,22.449,1024,2048,1024,1,2472,62824,61800,62830,61806,0,0,0,0
2026-05-18T05:19:47Z,12477,22.449,1024,2048,1024,1,2484,63124,62100,63130,62106,0,0,0,0
2026-05-18T05:20:47Z,12537,22.449,1024,2048,1024,1,2496,63424,62400,63430,62406,0,0,0,0
2026-05-18T05:21:48Z,12597,22.449,1024,2048,1024,1,2508,63724,62700,63730,62706,0,0,0,0
2026-05-18T05:22:48Z,12658,22.449,1024,2048,1024,1,2520,64024,63000,64030,63006,0,0,0,0
2026-05-18T05:23:48Z,12718,22.449,1024,2048,1024,1,2532,64324,63300,64330,63306,0,0,0,0
2026-05-18T05:24:48Z,12778,22.449,1024,2048,1024,1,2544,64624,63600,64630,63606,0,0,0,0
2026-05-18T05:25:48Z,12838,22.449,1024,2048,1024,1,2556,64924,63900,64930,63906,0,0,0,0
2026-05-18T05:26:48Z,12898,22.449,1024,2048,1024,1,2568,65224,64200,65230,64206,0,0,0,0
2026-05-18T05:27:49Z,12958,22.449,1024,2048,1024,1,2580,65524,64500,65530,64506,0,0,0,0
2026-05-18T05:28:49Z,13019,22.449,1024,2048,1024,1,2592,65824,64800,65830,64806,0,0,0,0
2026-05-18T05:29:49Z,13079,22.449,1024,2048,1024,1,2604,66124,65100,66130,65106,0,0,0,0
2026-05-18T05:30:50Z,13139,22.449,1024,2048,1024,1,2616,66424,65400,66430,65406,0,0,0,0
2026-05-18T05:31:50Z,13200,22.449,1024,2048,1024,1,2628,66724,65700,66730,65706,0,0,0,0
2026-05-18T05:32:51Z,13260,22.449,1024,2048,1024,1,2640,67024,66000,67030,66006,0,0,0,0
2026-05-18T05:33:51Z,13321,22.449,1024,2048,1024,1,2652,67324,66300,67330,66306,0,0,0,0
2026-05-18T05:34:52Z,13381,22.449,1024,2048,1024,1,2664,67624,66600,67630,66606,0,0,0,0
2026-05-18T05:35:52Z,13442,22.449,1024,2048,1024,1,2676,67924,66900,67930,66906,0,0,0,0
2026-05-18T05:36:53Z,13502,22.449,1024,2048,1024,1,2688,68224,67200,68230,67206,0,0,0,0
2026-05-18T05:37:54Z,13563,22.449,1024,2048,1024,1,2700,68524,67500,68530,67506,0,0,0,0
2026-05-18T05:38:55Z,13624,22.449,1024,2048,1024,1,2712,68824,67800,68830,67806,0,0,0,0
2026-05-18T05:39:55Z,13685,22.449,1024,2048,1024,1,2724,69124,68100,69130,68106,0,0,0,0
2026-05-18T05:40:55Z,13745,22.449,1024,2048,1024,1,2736,69424,68400,69430,68406,0,0,0,0
2026-05-18T05:41:58Z,13808,22.449,1024,2048,1024,1,2749,69749,68725,69755,68731,0,0,0,0
2026-05-18T05:42:59Z,13869,22.449,1024,2048,1024,1,2761,70049,69025,70055,69031,0,0,0,0
2026-05-18T05:43:59Z,13929,22.449,1024,2048,1024,1,2773,70349,69325,70355,69331,0,0,0,0
2026-05-18T05:44:59Z,13989,22.449,1024,2048,1024,1,2785,70649,69625,70655,69631,0,0,0,0
2026-05-18T05:45:59Z,14049,22.449,1024,2048,1024,1,2797,70949,69925,70955,69931,0,0,0,0
2026-05-18T05:46:59Z,14109,22.449,1024,2048,1024,1,2809,71249,70225,71255,70231,0,0,0,0
2026-05-18T05:47:59Z,14168,22.449,1024,2048,1024,1,2821,71549,70525,71555,70531,0,0,0,0
2026-05-18T05:48:59Z,14228,22.449,1024,2048,1024,1,2833,71849,70825,71855,70831,0,0,0,0
2026-05-18T05:49:59Z,14289,22.449,1024,2048,1024,1,2845,72149,71125,72155,71131,0,0,0,0
2026-05-18T05:50:59Z,14349,22.449,1024,2048,1024,1,2857,72449,71425,72455,71431,0,0,0,0
