source_file,name,target,version,peers,prefixes per peer,required,received,monitor (s),elapsed (s),prefix received (s),testers (s),total time,max cpu %,max mem (GB),min idle%,min free mem (GB),flags,date,cores,Mem (GB),tester errors,tester timeouts,failed,MSG,filters,max foreign cpu %,target image,tester version,monitor version
r03-s04-10x1000-01-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,10,1000,9900,10000,1,4,1,3,11.41,179,0.126,97,107.967,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r03-s04-10x1000-02-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,10,1000,9900,10000,0,3,2,1,9.27,5,0.029,100,108.056,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r03-s04-10x1000-03-bird.csv,BIRD 2.19.2,bird,2.19.2,10,1000,9900,10000,1,2,1,1,9.24,2,0.008,99,108.111,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0
r03-s04-10x1000-04-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,10,1000,9900,10000,0,2,1,1,8.28,6,0.028,100,108.094,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/rustbgpd:latest,2.19.2,4.8.0
r03-s05-2x10000-01-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,2,10000,19800,20000,1,3,1,2,10.37,71,0.079,98,108.081,,2026-08-29,64,125.29GB,0,0,,,,8,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r03-s05-2x10000-02-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,10000,19800,20000,0,3,2,1,9.33,6,0.04,99,108.052,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r03-s05-2x10000-03-bird.csv,BIRD 2.19.2,bird,2.19.2,2,10000,19800,20000,1,2,1,1,9.29,1,0.01,99,108.098,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0
r03-s05-2x10000-04-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,2,10000,19800,20000,0,2,1,1,8.26,6,0.038,99,108.08,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0
r04-s01-30x1000-01-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,30,1000,29700,30000,0,4,3,1,10.88,11,0.057,99,108.001,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r04-s01-30x1000-02-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,30,1000,29700,30000,0,3,1,2,9.82,20,0.103,99,107.938,,2026-08-29,64,125.29GB,0,0,,,,8,bgperf/rustbgpd:latest,2.19.2,4.8.0
r04-s01-30x1000-03-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,30,1000,29700,30000,0,4,1,3,10.95,1358,0.587,71,107.44,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r04-s01-30x1000-04-bird.csv,BIRD 2.19.2,bird,2.19.2,30,1000,29700,30000,1,3,1,2,10.85,13,0.013,98,108.058,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0
r04-s02-100x1000-01-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,100,1000,99000,100000,1,7,5,2,17.14,23,0.153,97,107.792,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r04-s02-100x1000-02-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,100,1000,99000,100000,0,3,1,2,11.97,133,0.265,95,107.591,,2026-08-29,64,125.29GB,0,0,,,,8,bgperf/rustbgpd:latest,2.19.2,4.8.0
r04-s02-100x1000-03-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,100,1000,99000,100000,0,16,1,15,24.65,2608,5.283,48,102.537,,2026-08-29,64,125.29GB,0,0,,,,7,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r04-s02-100x1000-04-bird.csv,BIRD 2.19.2,bird,2.19.2,100,1000,99000,100000,8,5,1,4,22.24,100,0.032,87,107.887,,2026-08-29,64,125.29GB,0,0,,,,3,bgperf/bird:2.19.2,2.19.2,4.8.0
r04-s03-10x1000-01-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,10,1000,9900,10000,0,3,2,1,9.35,5,0.03,99,107.992,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r04-s03-10x1000-02-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,10,1000,9900,10000,0,2,1,1,8.22,7,0.029,99,108.025,,2026-08-29,64,125.29GB,0,0,,,,9,bgperf/rustbgpd:latest,2.19.2,4.8.0
r04-s03-10x1000-03-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,10,1000,9900,10000,1,4,1,3,11.37,142,0.111,97,108.034,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r04-s03-10x1000-04-bird.csv,BIRD 2.19.2,bird,2.19.2,10,1000,9900,10000,1,2,1,1,9.26,2,0.01,99,108.078,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0
r04-s04-2x10000-01-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,10000,19800,20000,0,3,2,1,9.35,8,0.042,99,108.052,,2026-08-29,64,125.29GB,0,0,,,,7,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r04-s04-2x10000-02-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,2,10000,19800,20000,0,2,1,1,8.26,6,0.037,99,108.081,,2026-08-29,64,125.29GB,0,0,,,,7,bgperf/rustbgpd:latest,2.19.2,4.8.0
r04-s04-2x10000-03-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,2,10000,19800,20000,1,4,1,3,11.49,66,0.076,98,108.042,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r04-s04-2x10000-04-bird.csv,BIRD 2.19.2,bird,2.19.2,2,10000,19800,20000,1,2,1,1,9.25,1,0.01,99,108.108,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/bird:2.19.2,2.19.2,4.8.0
r04-s05-2x100000-01-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,100000,198000,200000,1,4,2,2,14.51,83,0.254,94,107.603,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r04-s05-2x100000-02-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,2,100000,198000,200000,0,3,1,2,12.43,39,0.197,95,107.581,,2026-08-29,64,125.29GB,0,0,,,,8,bgperf/rustbgpd:latest,2.19.2,4.8.0
r04-s05-2x100000-03-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,2,100000,198000,200000,1,4,1,3,14.58,772,0.382,82,107.425,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r04-s05-2x100000-04-bird.csv,BIRD 2.19.2,bird,2.19.2,2,100000,198000,200000,1,3,1,2,13.51,6,0.027,95,107.753,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0
